metas,cod_dependencia,no_pilar,nom_del_pilar,macrometas,cod_sector,nom_sector,cod_programa,nombre_del_programa,cod_bpin,acciones_del_plan,unidad_de_medida,linea_base,ao,codigo_producto,indicador_de_p___meta,secretaria,descripcion_meta,meta,tipo_de_ponderado,meta_pdm,meta_fisica_realizada,ponderado,explicacin_avance___retraso,meta_pdm_1,meta_fisica_realizada_1,ponderado_1,explicacin_avance___retraso_1,meta_pdm_2,meta_fisica_realizada_2,ponderado_2,explicacin_avance___retraso_2,meta_pdm_3,meta_fisica_realizada_3,ponderado_3,explicacin_avance___retraso_3,cuatrenio,rp,de,sgp_educacin,sgp_salud,sgp___apsb,sgp_deporte,sgp_cultura,sgp_la,sgp_li,cofinanc,asig_espec,sgr,rec_credito,otros,total,adicin_presupuestal,traslado_presupuestal___reduccin,total_apropiacion_2024,total_apropiacion_imder,neto_registros_2024,total_obligacin_2024,saldo_rp,porcentaje_de_ejecucion_respecto_a_lo_obligado,porcentaje_de_ejecucion_respecto_los_pagos,presupuesto_a_comprometer,rp_1,de_1,sgp_educacin_1,sgp_salud_1,sgp___apsb_1,sgp_deporte_1,sgp_cultura_1,sgp_la_1,sgp_li_1,cofinanc_nacin,cofinanc_departamento,sgr_1,rec_credito_1,pgn,otros_1,apropiacion_inicial,adicin_presupuestal_1,traslado_presupuestal___reduccin_1,total_apropiacion_2025,presupuesto_que_no_entra_rp,neto_registros_2025,total_obligacin_2025,saldo_rp_1,porcentaje_de_ejecucion_respecto_a_lo_obligado_1,porcentaje_de_ejecucion_respecto_los_pagos_1,presupuesto_a_comprometer_1,rp_2,de_2,sgp_educacin_2,sgp_salud_2,sgp___apsb_2,sgp_deporte_2,sgp_cultura_2,sgp_la_2,sgp_li_2,cofinanc_1,asig_espec_1,sgr_2,rec_credito_2,otros_recursos_que_no_ingresan_al_presupuesto,otros_recursos,adicin_presupuestal_2,traslado_presupuestal___reduccin_2,total_apropiacion_2026,total_apropiacion_imder_1,neto_registros_2026,total_obligacin_2026,saldo_rp_2,porcentaje_de_ejecucion_respecto_a_lo_obligado_2,porcentaje_de_ejecucion_respecto_los_pagos_2,presupuesto_a_comprometer_2,rp_3,de_3,sgp_educacin_3,sgp_salud_3,sgp___apsb_3,sgp_deporte_3,sgp_cultura_3,sgp_la_3,sgp_li_3,cofinanc_2,asig_espec_2,sgr_3,rec_credito_3,otros_2,total_apropiacion,adicin_presupuestal_3,traslado_presupuestal___reduccin_3,total_apropiacion_2027,total_apropiacion_imder_2,neto_registros_2027,total_obligacin_2027,saldo_rp_3,porcentaje_de_ejecucion_respecto_a_lo_obligado_3,porcentaje_de_ejecucion_respecto_los_pagos_3,presupuesto_por_comprometer,total_apropiacion_1,total_apropiacion_2,total_oblicacion,r__pct_avance_ao_2024,r__pond_avance_ao1,r__pct_avance_ao_2025,r__pond_avance_ao2,r__pct_avance_ao_2026,r__pond_avance_ao3,r__pct_avance_ao_2027,r__pond_avance_ao4,r__pct_avance_cuatrenio,r__pond_avance_cuatrienio,observaciones,compromisos,observaciones_1,compromisos_1,observaciones_2,compromisos_2,observaciones_3,compromisos_3,eficiencia_2024,eficiencia_2025,eficiencia_2026,eficiencia_2027,pct_de_cumplimiento_cuatrienio,avance_fisico
1,"1,130.00",1,"QUILICHAO ORDENADO, PLANIFICADO Y DE GORBIERNO ABIERTO",1.2 Diseñar y poner en marcha instrumentos para optimizar la planeación municipal,45,GOBIERNO TERRITORIAL,4502,Fortalecimiento del buen gobierno para el respeto y garantía de los derechos humanos,"202400000007153
  20250000002195",Organizar y realizar talleres comunales para socializar la metodología de Presupuestos Participativos y las UBA y promover la participación ciudadana como parte del Programa de Fortalecimiento del buen gobierno para el respeto y garantía de los derechos humanos. PATR 119698279985,Número,1 Iniciativa Implementada,2023,4502001,450200107 - 10 iniciativas creadas,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,10 iniciativas creadas,10,Acumulativo,2,2,"31,328",,4,4,"0,01",los talleres dirigidos a las Juntas de Acción Comunal serán contratados por medio de mínima que ya esta subida en el secop II.,2,0,"0,00",,2,0,"0,00",,,"44.194.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 44.194.000,00",,,44194000.0,,44194000.0,"$ 44.194.000,00",0.0,100%,100%,"$ 0,00",,,,,,,,,,,,,,,,,,,15000000.0,,15000000.0,$ 15.000.000,,100%,100%,$ -,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$56.520.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,56520000.0,,,,,0%,0%,"$ 56.520.000,00",,,"59.194.000,00",0.01,0.002,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.006,,,Se realizo el taller para fortalecimiento del buen gobierno y promoción de derechos humanos el 19 de septiembre donde participaron 140 integrantes de las Juntas de Acción Comunal. Aún no se causa el pago.,Ejecutar el contrato,,,,,0.01,0.01,0.0,0.0,0.005,0.6
2,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.8 Implementar acciones para fomentar la seguridad alimentaria en el municipio,41,INCLUSION SOCIAL Y RECONCILIACION,4103,Inclusión social y productiva para la población en situación de vulnerabilidad,"202400000006064
  20250000002453",Fortalecer las capacidades de entrega de alimentos de los Centros Bienestar y Centros Vida para el Adulto Mayor.,Número,400 Personas beneficiadas con raciones de alimentos,2023,4103017,410301700 - 400 Personas beneficiadas con raciones de alimentos,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,400 Personas beneficiadas con raciones de alimentos,400,Acumulativo,100,100,"850,521",,100,100,"0,47","Se está proporcionando la alimentación a los 92 adultos mayores que han solicitado los servicios del centro vida y centro bienestar.
 3 adultos fallecieron en el mes de mayo",100,91,"0,00",,100,0,"0,00",,,"898.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 898.000.000,00",,,1202514364.91,,1199829899.0,"$ 1.199.829.899,00",0.0,100%,100%,"$ 2.684.465,91",,,,,,,,,,,,,,,,,,,850000000.0,,786535052.0,$ 786.535.052,,93%,100%,$ 63.464.948,$0,"$600,000,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,600000000.0,,41016000.0,"$41,016,000.00",,7%,100%,"$558,984,000","$960.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,960000000.0,,,,,0%,0%,"$ 960.000.000,00",,,"1.986.364.951,00",0.01,0.0025,0.01,0.0025,0.0091,0.0023,0.0,0.0,0.0,0.0073,,,"Proyecto 202400000006064: Se suscribieron los contratos:
 126 por $ 63.651.100 ya liquidado (Pagado marzo 46.050.510, abril 17.600.590), y una subasta contrato 312 por $436.348.900 se paga por entregas de Actas parciales. 
 Pago mayo $89.100.800
 Pago junio $ 61.075.930
 Pago julio $50.000.000.
 Pago Agosto $ 50.000.000
 Pago Septiembre $ 63.474.370
 Pago Octubre $ 50.000.000
 Se está Suministrando alimentación a 93 personas de los centros vida y Bienestar
 Proyecto
 20250000002453 se suscribieron los contratos:
 571 por $ 247.434.252",Seguir ejecutando el contrato,,,,,0.01,0.01,0.0091,0.0,0.007275,0.73
3,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.8 Implementar acciones para fomentar la seguridad alimentaria en el municipio,41,INCLUSION SOCIAL Y RECONCILIACION,4103,Inclusión social y productiva para la población en situación de vulnerabilidad,"202400000007138
 20250000002291",Promover programas de mejoramiento de la calidad de vida de las comunidades a través de acciones de seguridad y soberanía alimentaria en las JAC,Número de unidades,ND,2023,4103055,410305500 - 12 Unidades productivas para el autoconsumo instaladas,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,12 Unidades productivas para el autoconsumo instaladas,12,Acumulativo,NP,NP,0,,4,4,"0,01",Proyecto está para viabilidad.los talleres para instalación de huertas serán contratados por medio de una mínima que ya se encuentra subida en el secop II,4,0,"0,00",,4,0,"0,00",,,"0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",$ -,,,226000000.0,,226000000.0,"$226.000.000,00",0.0,100%,100%,"$ 0,00",,,,,,,,,,,,,,,,,,,20000000.0,,19194164.0,$ 19.194.164,,96%,100%,$806,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$70.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,70000000.0,,,,,0%,0%,"$ 70.000.000,00",,,"245.194.164,00",,,0.01,0.0033,0.0,0.0,0.0,0.0,0.0,0.0033,,,"Proyecto 202400000007138: 
 CONVENIO 1.
 Contrato No. 460 por
 6.609.164 para la realización de talleres formativos y prácticos para instalación de huertas. 
 Se realizo un pago por $ 4.315.000 PERO ESTE CORRESPONDE A LA M022",Ejecutar el contrato,,,,,,0.01,0.0,0.0,0.003333,0.33
4,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4502,Fortalecimiento del buen gobierno para el respeto y garantía de los derechos humanos.,"202400000007153
  20250000002195",Implementar la PP para las Mujeres (Acuerdo 036 de 2019) y hacer las evaluaciones necesarias a la misma para asegurar su contribución al Bienestar Integral de las mujeres.,Número,1 Politica publica implementada,2023,4502001,450200108 - 4 Estrategias para el fomento de a la participación de las mujeres en los espacios de participación política y de toma de decisión implementadas,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,4 Estrategias para el fomento de a la participación de las mujeres en los espacios de participación política y de toma de decisión implementadas,4,Acumulativo,1,1,"9,464",,1,1,"0,01",Ya se tiene viabilizado el proyecto y se está en trámite de solicitud de cdp,1,0,"0,00",,1,0,"0,00",,,"22.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 22.000.000,00",,,33800000.0,,13350832.0,"$ 13.350.832,00",0.0,39%,100%,"$ 20.449.168,00",,,,,,,,,,,,,,,,,,,10000000.0,,10000000.0,$ 10.000.000,,100%,100%,$ -,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,20000000.0,0.0,20000000.0,,0.0,$0.00,,0%,0%,"$20,000,000","$181.350.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,181350000.0,,,,,0%,0%,"$ 181.350.000,00",,,"23.350.832,00",0.01,0.0025,0.01,0.0025,0.0,0.0,0.0,0.0,0.0,0.005,,,"Ya se tienen viabilizados los proyectos 202400000007153 y 20250000002195.
 Se está en trámite de solicitud de cdp, para iniciar proceso de suscripción de convenio para campaña de promoción a la participación ciudadana y garantía de derechos de las mujeres.",Iniciar proceso contractual,,,,,0.01,0.01,0.0,0.0,0.005,0.5
5,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4502,Fortalecimiento del buen gobierno para el respeto y garantía de los derechos humanos.,"202400000007153
  20250000002195","Implementar un abordaje integral para prevenir y erradicar las violencias contra las mujeres, tanto en el ámbito público como en el privado, incorporando acciones particulares para proteger a las mujeres rurales.",Número,1,2023,4502038,450203800 - 1 Estrategia de promoción de la garantía de derechos implementada,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,1 Estrategia de promoción de la garantía de derechos implementada,1,No acumulativo,NP,NP,0,,1,1,"0,01",Ya se tiene viabilizado el proyecto y se está en trámite de solicitud de cdp,0.33,0,"0,00",,1,0,"0,00",,,"0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",$ -,,,167043000.0,,120249999.0,"$120.249.999,00",0.0,72%,100%,"$ 46.793.001,00",,,,,,,,,,,,,,,,,,,25000000.0,,25000000.0,$ 25.000.000,,100%,100%,$ -,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,15000000.0,0.0,15000000.0,,0.0,$0.00,,0%,0%,"$15,000,000","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$18.000.000,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,18000000.0,,,,,0%,0%,"$ 18.000.000,00",,,"145.249.999,00",,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0033,,,"Ya se tienen viabilizados los proyectos 202400000007153 y 20250000002195.
 Se está en trámite de solicitud de cdp, para iniciar proceso de suscripción de convenio para implementar estrategia de sensibilización a la No violencia contra las mujeres.",Iniciar proceso contractual,,,,,,0.01,0.0,0.0,0.003333,0.33
6,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4501,Fortalecimiento de la convivencia y la seguridad ciudadana,"202400000007299
 20250000002319",Apoyar en la implementación de la ruta de atención a las víctimas de violencias basadas en género prevista en la PP Mujer,Número,1,2023,4501050,450105001 - 280 Mujeres Atendidas,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,280 Mujeres Atendidas,280,Acumulativo,50,50,689,,70,105,"0,04","Se realizó contrato OPS psicologa por 2 meses:
 246 por $7.000.000 pago $ 7.000.000.
 A la fecha se han atendido 52 casos de VBG, correspondientes a 48 mujeres, 02 mujeres trans y 02 hombres.",70,28,"0,00",,90,0,"0,00",,,"8.240.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 8.240.000,00",,,8240000.0,,972000.0,"$ 972.000,00",0.0,12%,100%,"$ 7.268.000,00",,,,,,,,,,,,,,,,,,,81580313.0,,58900000.0,$ 58.900.000,,72%,100%,$ 22.680.313,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$7.220.000,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,7220000.0,,,,,0%,0%,"$ 7.220.000,00",,,"59.872.000,00",0.01,0.0018,0.015,0.0038,0.004,0.001,0.0,0.0,0.0,0.0066,,,"Proyecto 202400000007299: Se suscribió el contrato No. 246 por $ 7.000.000 (liquidado).
 Pendiente quitar reducción de la matriz presupuesto
 Proyecto 20250000002319: Se suscribió los contratos: 695 por $9.300.000 para realizar apoyo operativo en el aula TICS de la casa de la mujer empoderada
 474 por $ 21.000.000 del cual ya se pagó:
 1 cuota: $ 3.500.000.
 2 cuota: $ 3.500.000
 3 cuota: $ 3.500.000
 Se ha prestado atención psicosocial, con lo que a la fecha se han atendido 103 casos de VBG, correspondientes a 95 mujeres, 02 mujeres trans, 01 hombre gay y 05 hombres.
 Se cuenta con Abogada, Psicóloga y un Técnico que apoya la población LGTBIQ+.",Seguir ejecutando el contrato,,,,,0.01,0.01,0.004,0.0,0.006,0.66
7,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4501,Fortalecimiento de la convivencia y la seguridad ciudadana,"202400000007299
 20250000002319",Coordinar con organizaciones y espacios de la sociedad civil su participación en mesas de trabajo para la generación de capacidades en producción y análisis de datos sobre VBG,Número,ND,2023,4501049,450104905 - 4 Capacitaciones realizadas,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,4 Capacitaciones realizadas,4,Acumulativo,NP,NP,0,,2,1,"0,01",Ya se tiene viabilizado el proyecto y se está en trámite de solicitud de cdp,1,0,"0,00",,1,0,"0,00",,,"0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",$ -,,,74592000.0,,74592000.0,"$74.592.000,00",0.0,100%,100%,"$ 0,00",,,,,,,,,,,,,,,,,,,10000000.0,,10000000.0,$ 10.000.000,,100%,100%,$ -,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",0.0,,,0.0,,,,,0%,0%,"$ 0,00",,,"84.592.000,00",,,0.005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,,,"Ya se tienen viabilizados los proyectos 202400000007299 Y 20250000002319.
 Se está en trámite de solicitud de cdp, para iniciar proceso de suscripción de convenio para asistencia técnica para la generación de capacidades en producción y análisis de datos sobre VBG.",Iniciar proceso contractual,,,,,,0.005,0.0,0.0,0.0016669999999999999,0.25
8,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4501,Fortalecimiento de la convivencia y la seguridad ciudadana,"202400000007299
 20250000002319",Gestionar la dotación y fortalecimiento administrativo de la Casa de la Mujer Empoderada,Número de casos,ND,2023,4501050,450105000 - 250 casos atendidos,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,250 casos atendidos,250,Acumulativo,NP,NP,0,,100,105,"0,00",Ya se tiene viabilizado el proyecto y se está en trámite de solicitud de cdp,100,0,"0,00",,50,0,"0,00",,,"0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",$ -,,,74592000.0,,74592000.0,"$74.592.000,00",0.0,100%,100%,"$ 0,00",,,,,,,,,,,,,,,,,,,10000000.0,,0.0,$ -,,0%,#¡DIV/0!,$ 10.000.000,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",0.0,,,0.0,,,,,0%,0%,"$ 0,00",0.0,,"74.592.000,00",,,0.0105,0.0042,0.0,0.0,0.0,0.0,0.0,0.0042,,,"Ya se tienen viabilizados los proyectos 202400000007299 Y 20250000002319.
 Se está en trámite de solicitud de cdp, para iniciar proceso de suscripción de convenio para la dotación del consejo consultivo de mujeres.
 Sin embargo, se ha prestado atención psicosocial, con lo que a la fecha se han atendido 
 105 casos de VBG, correspondientes a 95 mujeres, 02 mujeres trans, 01 hombre gay y 05 hombres",Iniciar proceso contractual,,,,,,0.01,0.0,0.0,0.003333,0.42
9,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,3.9 Promover y fortalecer la participación de la mujer en todo los espacios y dimensiones de la vida,45,GOBIERNO TERRITORIAL,4501,Fortalecimiento de la convivencia y la seguridad ciudadana,"202400000007299
 20250000002319",Conformar un grupo de trabajo social y comunitario para fortalecer el Consejo Consultivo de la Mujer y para evaluación y seguimiento de la Política Pública de mujer y género con asesoría de un equipo técnico,Numero,ND,2023,4501026,450102600 - 1 Plan estrategico elaborado,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,1 Plan estrategico elaborado,1,No acumulativo,NP,NP,0,,1,1,"0,01",los talleres serán contratados por medio de una mínima que ya se encuentra subida en el secop II,0.25,0,"0,00",,1,0,"0,00",,,"0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",$ -,,,10000000.0,,0.0,"$ 0,00",0.0,0%,0%,"$ 10.000.000,00",,,,,,,,,,,,,,,,,,,23000000.0,,23000000.0,$ 23.000.000,,100%,100%,$ -,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,0.0,$0,$0,0.0,0.0,0.0,,0.0,$0.00,,0%,0%,$0,"$13.200.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,13200000.0,,,,,0%,0%,"$ 13.200.000,00",,,"23.000.000,00",,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0033,,,"Proyecto 202400000007299: Se inicia CONVENIO 1, contrato No. 460 por 8.000.000 para realizar taller de empoderamiento femenino para el fortalecimiento del consejo Consultivo de la mujer.
 Aún no se tiene programado el taller",Ejecutar el contrato,,,,,,0.01,0.0,0.0,0.003333,0.33
10,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,"3.10 Fortalecer el Programa Municipal Juventud en Paz y para la vida, brindando herramientas para la creación y fortalecimiento de organizaciones juveniles del municipio, para focalizar mejor el acceso a oportunidades, con un enfoque de redes de cuidado",41,INCLUSION SOCIAL Y RECONCILIACION,4102,"Desarrollo integral de la primera infancia a la juventud, y fortalecimiento de las capacidades de las familias de niñas, niños y adolescentes","202400000006063
 202500000025864","Implementar, evaluar y fortalecer el Programa Municipal Juventud en Paz y para la vida, apoyando su articulación con los Programa Jóvenes en Paz del Gobierno Nacional",Numero,ND,2023,4102045,410204502 - 4.000 Jóvenes atendidos,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,4.000 Jóvenes atendidos,4000,Acumulativo,"1,000",1000,"6,805",,1000,350,"0,00",El proyecto esta radicado en banco de proyectos,1000,295,"0,00",,1000,0,"0,00",,,"12.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 12.000.000,00",,,12000000.0,,9600000.0,"$ 9.600.000,00",0.0,80%,100%,"$ 2.400.000,00",,,,,,,,,,,,,,,,,,,18415000.0,,3415000.0,$ 3.415.000,0.0,19%,100%,$ 15.000.000,$0,$0,$0,$0,$0,$0,$0,"$3,507,143",$0,$0,$0,$0,0.0,$0,$0,11013419.0,0.0,14520562.0,,3507143.0,"$3,507,000.00",,24%,100%,"$11,013,419","$45.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,45000000.0,,,,,0%,0%,"$ 45.000.000,00",,,"13.014.999,99",0.01,0.0025,0.0034999999999999996,0.0009,0.003,0.0007000000000000001,0.0,0.0,0.0,0.0040999999999999995,,,"Proyecto 202400000006063: Se suscribió CONVENIO 1,
 460 por $ 3.415.000 
 Con el que se realizó el taller formativo: desarrollo de capacidades de liderazgo juvenil, donde asistieron 50 jóvenes del municipio. 
 Se realizo pago de $ 3389999,99
 
 Adicionalmente, a través del enlace municipal de juventudes, en la Secretaria se ha venido adelantando un proceso de educación informal orientado al reconocimiento de derechos y la promoción de la participación política juvenil a través de la socialización del estatuto de Ciudadanía Juvenil (Ley 1622 de 2013 y su reforma 1885 de 2018) y mecanismos de participación política juvenil, donde se han atendido a la fecha aproximadamente 350 jóvenes",Ejecutar el contrato,,,,,0.01,0.0034999999999999996,0.00295,0.0,0.004113,0.41
11,"1,130.00",3,QUILICHAO CON DESARROLLO SOCIAL Y HUMANO,"3.10 Fortalecer el Programa Municipal Juventud en Paz y para la vida, brindando herramientas para la creación y fortalecimiento de organizaciones juveniles del municipio, para focalizar mejor el acceso a oportunidades, con un enfoque de redes de cuidado",41,INCLUSION SOCIAL Y RECONCILIACION,4102,"Desarrollo integral de la primera infancia a la juventud, y fortalecimiento de las capacidades de las familias de niñas, niños y adolescentes","202400000006063
 202500000025864","Promover la creación de grupos juveniles de cuidado, sectorizadas por UBA y/o vereda, por medio de las cuales se incentive la participación de esta población y se garantice su acceso a la oferta institucional disponible",Numero,ND,2023,4102045,410204504 - 4.800 Jóvenes atendidos para la Construcción de Paz,SECRETARIA DE BIENESTAR SOCIAL Y PARTICIPACIÓN COMUNITARIA,4.800 Jóvenes atendidos para la Construcción de Paz,4800,Acumulativo,"1,200",0,"14,019",,1200,1300,"0,02",El proyecto esta radicado en banco de proyectos,1200,295,"0,00",,1200,0,"0,00",,,"38.157.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00","$ 38.157.000,00",,,38157000.0,,19776000.0,"$ 19.776.000,00",0.0,52%,100%,"$ 18.381.000,00",,,,,,,,,,,,,,,,,,,30500000.0,,30000000.0,$ 20.400.000,,98%,68%,$500,$0,$0,$0,$0,$0,$0,$0,"$3,507,143",$0,$0,$0,$0,0.0,$0,$0,15000000.0,0.0,18507143.0,,3507143.0,"$3,507,000.00",,19%,100%,"$15,000,000","$15.000.000,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00","$0,00",0.0,"$0,00",,,,15000000.0,,,,,0%,0%,"$ 15.000.000,00",,,"40.176.000,00",0.0,0.0,0.0108,0.0027,0.0025,0.0006,0.0,0.0,0.0,0.0033,,,"Ya se tienen viabilizados los proyectos 202400000006063 y 202500000025864.
 Proyecto 202500000025864 se suscribió contrato:
 Convenio ESAL No. 673 por $ 19.200.000 al cual se realizó pago
 1 cuota $ 9.600.000 cuyo objetivo es implementar estrategia de comunicación para el fortalecimiento de grupos del cuidado.
 A través del enlace municipal de juventudes, la secretaria avanza en la reactivación de la Plataforma Municipal de Juventud, donde participan directamente cerca de 50 jóvenes pertenecientes a más de 20 procesos y organizaciones juveniles del municipio y desarrollando la estrategia “Grupos Juveniles del Cuidado”, una apuesta de atención integral a jóvenes en situación de vulnerabilidad, focalizada inicialmente en el barrio El Porvenir.",Iniciar proceso contractual,,,,,0.0,0.01,0.002458,0.0,0.003115,0.33
